Rank,Coin Name,Symbol,Price,Market Cap,Volume (24h),24h % Change,7d % Change,30d % Change,1y % Change
7,"USDC",USDC,0.999868,64465421356,17624069671,-0.00332565768646969,-0.0018507845981996973,0.007450283406768873,0.035386487787803685
33,"Ethena USDe",USDE,1.001,6104542431,250566509,0.03278897486267947,-0.02004920299570864,0.058096976510941506,0.07461565377192457
27,"Binance Bridged USDT (BNB Smart Chain)",BSC-USD,0.999649,6792354588,5086105328,0.008899052216176859,-0.032594978874517025,-0.010343951533423055,0.053411540382073415
86,"USDtb",USDTB,0.999516,1455142136,4271141,-0.007553916494981249,-0.05449237919165736,-0.02589997939301168,
85,"First Digital USD",FDUSD,0.997256,1475298425,5384503078,-0.2317090727828778,-0.1789058585432727,-0.16176935706924286,-0.2676142279503198
24,"LEO Token",LEO,8.99,8297369340,5157314,0.006428000409318257,-0.4460405866708046,1.2529510204496606,58.09062360503363
78,"Lombard Staked BTC",LBTC,117062,1666626846,3279936,-0.3984472504590152,-1.5964957343066133,14.055835697939042,
14,"Wrapped Bitcoin",WBTC,116858,15055182311,215821080,-0.650678364307025,-1.7332158877261856,13.161363298158472,74.16697730799594
1,"Bitcoin",BTC,116993,2327655855949,36082989693,-0.6829856525808923,-1.8064043271786807,13.26456176213793,74.34523558786418
30,"Coinbase Wrapped BTC",CBBTC,117050,6389737448,415441079,-0.7001939649878937,-1.8207901186979787,13.198489439389313,
15,"Stellar",XLM,0.459078,14288441907,743877754,-0.20336167230611532,-2.560176908823496,89.78647901131116,336.4314520779709
34,"Monero",XMR,322.82,5959231936,73829505,-0.8422759197963934,-3.9843054690517845,3.986658516818628,97.54590621420036
31,"WhiteBIT Coin",WBT,44.29,6386537815,88051124,0.35902103417995973,-4.205486065573763,-9.597376403199066,337.04858214316863
45,"Pi Network",PI,0.443578,3420501504,77710293,-0.09289532132568443,-4.9836728081618515,-17.908263438719544,
13,"Hyperliquid",HYPE,45.73,15248615391,383125980,3.098708554328691,-6.380674772813369,37.14718328955721,
